,genre,duration_ms,explicit,popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,tempo,valence,year_min,year_max,name
0,blues,244643.25,0.0,45.5,0.64975,0.66975,-5.6165,0.09190000000000001,0.0210525,0.11226005,0.17120000000000002,122.93225,0.4955,1999,2007,4
1,classical,219560.0,0.0,63.0,0.59,0.578,-5.798,0.0528,0.612,0.000162,0.0837,81.663,0.264,2015,2015,1
2,country,222226.04761904763,0.047619047619047616,56.57142857142857,0.5781428571428572,0.7185714285714285,-5.569190476190476,0.059180952380952376,0.21947714285714287,1.3602380952380951e-05,0.18522857142857144,130.55119047619047,0.5215714285714286,1999,2019,21
3,dance/electronic,216428.12051282052,0.11794871794871795,54.98205128205128,0.6667923076923077,0.7671230769230769,-5.1568025641025645,0.07959,0.10971678564102563,0.037397873666666664,0.18344128205128207,124.1778358974359,0.5366710256410256,1999,2019,390
4,easylistening,234931.0,0.0,61.42857142857143,0.612,0.6897142857142856,-7.598714285714286,0.051457142857142854,0.24063199999999998,0.03834282857142857,0.13548571428571426,121.42571428571429,0.5702857142857143,1999,2017,7
5,folk/acoustic,220183.65,0.05,60.2,0.5674,0.72855,-6.3538,0.042185,0.1971995,0.043268622,0.18891,110.34804999999999,0.57925,1999,2017,20
6,hiphop,234078.0642673522,0.5475578406169666,61.987146529562985,0.7180719794344472,0.6982699228791774,-5.5988264781491,0.15186529562982007,0.11703996529562981,0.006692494897172237,0.1875901028277635,118.05227249357327,0.5614173521850899,1998,2020,778
7,jazz,224813.0,0.0,57.5,0.548,0.23299999999999998,-14.418,0.0317,0.6859999999999999,0.004443,0.10994999999999999,104.99950000000001,0.22499999999999998,2003,2005,2
8,latin,227674.859375,0.09375,59.171875,0.724078125,0.788375,-4.6598125,0.097796875,0.16019851562499998,0.000649784375,0.1934765625,117.877828125,0.689203125,1999,2019,64
9,metal,233589.9393939394,0.13636363636363635,67.98484848484848,0.511060606060606,0.8333030303030302,-4.849575757575757,0.04741818181818182,0.04186910909090909,0.005045251363636363,0.19111060606060606,124.61213636363637,0.45051060606060606,1999,2019,66
10,pop,228659.97977941178,0.2506127450980392,59.26531862745098,0.6701930147058824,0.7147144607843137,-5.517034926470588,0.10066237745098039,0.13267270557598038,0.011275709160539216,0.17985992647058824,119.7097830882353,0.5537102328431373,1998,2020,1632
11,r&b,239342.60398230088,0.27876106194690264,58.703539823008846,0.6894181415929204,0.6613119469026549,-5.906188053097345,0.11440464601769912,0.1528839185840708,0.00646727453539823,0.1618595132743363,115.38086061946902,0.5631564159292035,1998,2019,452
12,rock,227626.58974358975,0.08547008547008547,63.06837606837607,0.5556410256410257,0.7916880341880341,-5.1638717948717945,0.05897649572649572,0.07601158846153847,0.029546567008547006,0.19674914529914528,125.92886752136752,0.5243141025641025,1999,2019,234
13,set(),214065.4090909091,0.09090909090909091,57.45454545454545,0.739,0.7389545454545455,-5.863272727272727,0.06486363636363636,0.18117695454545454,0.03602037363636364,0.1615272727272727,120.1329090909091,0.6632727272727273,1999,2019,22
14,world/traditional,219063.8,0.1,53.8,0.603,0.6857,-6.1878,0.07953,0.27296078,0.198377934,0.19441,110.33319999999999,0.6537,2000,2020,10
